GameDate,Team,Recent_5_Win,Recent_5_Loss,Recent_5_Win.1,Recent_5_Loss.1,WPA_p,RE24_p,WPA_b,RE24_b,AVG,OPS,GDP,LOB,GSC,LI_b,LI_p,IR,IS,HBP,HBP_p,PA,AB,R,H,HR,RBI,BB,SO,GO,FO,NP,IP,TBF,H_p,R_p,ER,BB_p,K,HR_p,ERA,WHIP,NP_total,NP_strike,Result,home_away
2021-04-03,2,0,0,0,0,-0.127,-1.58,-0.375,-3.98,0.194,0.413,1,9,42,1.6,0.31,2.0,0.0,0,0,37.0,34.0,1.0,9.0,0.0,1.0,3.0,6.0,13.0,5.0,142.0,8.0,33.0,8.0,4.0,4.0,2.0,3.0,1.0,4.5,1.25,118.0,80.0,0.0,0.0
2021-04-03,3,0,0,0,0,0.374,3.97,0.129,1.59,0.25,0.708,0,17,65,2.3,0.44,0.0,0.0,0,0,43.0,39.0,3.0,11.0,0.5,3.0,2.5,8.0,12.0,5.5,170.0,9.5,37.0,6.5,4.0,4.0,2.0,8.0,0.5,3.885,0.945,147.5,95.5,0.5,0.0
2021-04-04,0,0,0,0,0,-0.169,0.42,-0.33,-3.99,0.265,0.648,3,19,58,2.9,1.33,4.0,2.0,0,0,48.333333333333336,42.333333333333336,4.666666666666667,12.333333333333334,0.3333333333333333,4.666666666666667,4.0,7.0,12.666666666666666,7.666666666666667,189.66666666666663,10.333333333333334,42.0,7.0,5.0,4.333333333333333,3.0,8.666666666666666,0.3333333333333333,3.84,0.99,171.0,108.33333333333331,0.6666666666666666,0.0
2021-04-04,1,0,0,0,0,0.331,3.97,0.17,-0.42,0.267,0.713,1,11,52,2.73,1.02,3.0,0.0,0,0,46.0,39.5,4.75,11.0,0.25,4.75,4.5,7.0,11.25,8.5,181.0,10.0,41.0,6.25,4.5,4.0,4.0,7.75,0.5,3.63,1.0475,165.0,101.75,0.75,0.0
2021-04-04,2,0,1,0,1,-0.499,-2.59,-0.003,0.02,0.229,0.619,0,23,29,1.77,0.87,6.0,2.0,1,2,45.2,39.6,5.0,11.4,0.2,5.0,4.0,7.6,11.2,8.6,177.2,9.8,42.2,7.8,5.6,5.2,4.2,7.2,0.6,4.904,1.26,167.0,105.0,0.6,0.2
2021-04-04,3,1,0,1,0,0.003,-0.04,0.498,2.58,0.344,1.038,1,14,45,1.64,0.75,0.0,0.0,2,1,44.8,39.0,5.2,10.6,0.2,5.2,4.0,7.6,10.6,9.0,174.8,10.0,44.2,8.6,6.6,6.2,4.4,8.2,0.8,5.804,1.344,173.2,107.2,0.6,0.4
2021-04-04,4,0,0,0,0,-0.125,-2.58,-0.374,-0.97,0.324,0.856,1,14,49,6.42,0.58,0.0,0.0,0,0,42.4,37.4,4.8,10.0,0.0,4.8,3.8,7.0,9.8,10.4,166.8,9.6,44.2,10.0,7.2,6.8,4.6,6.4,1.2,6.55,1.55,168.8,103.8,0.4,0.6
2021-04-04,5,0,0,0,0,0.374,0.97,0.128,2.58,0.29,1.063,2,8,53,1.78,1.96,0.0,0.0,0,0,37.0,33.6,3.2,7.4,0.0,3.2,2.8,8.0,8.6,10.0,148.0,9.0,43.8,10.8,7.4,7.4,5.6,6.0,1.2,7.4,1.822,166.0,99.8,0.2,0.8
2021-04-04,6,0,0,0,0,-0.113,2.99,-0.385,-1.99,0.194,0.5,0,20,53,4.61,1.6,1.0,0.0,0,0,38.0,34.4,2.8,7.0,0.0,2.6,2.8,7.8,10.0,10.4,149.4,9.6,46.4,12.0,7.2,7.2,5.2,6.0,1.0,7.1,1.828,178.0,109.2,0.2,1.0
2021-04-04,7,0,0,0,0,0.387,1.99,0.113,-2.98,0.194,0.58,0,10,56,3.62,2.42,4.0,0.0,0,0,38.6,33.6,3.6,7.0,0.0,3.4,4.2,6.6,9.2,10.4,152.8,9.6,45.6,11.0,6.2,6.2,5.6,7.2,0.8,6.1,1.762,183.4,110.6,0.4,1.0
2021-04-04,8,0,0,0,0,0.691,3.98,-0.19,-2.99,0.229,0.582,0,29,57,4.24,2.09,2.0,0.0,0,1,40.8,35.6,5.4,9.2,0.0,5.0,4.4,7.0,8.6,11.0,162.2,9.6,46.4,10.8,5.6,5.6,6.8,7.2,0.6,5.5,1.872,191.2,112.2,0.6,0.8
2021-04-04,9,0,0,0,0,0.193,2.98,-0.69,-3.98,0.2,0.647,2,12,58,2.41,1.45,3.0,1.0,1,0,42.0,35.6,5.4,8.6,0.0,5.0,5.4,6.8,8.6,11.0,163.0,9.64,47.0,10.8,5.0,5.0,6.6,8.0,0.6,4.843999999999999,1.828,195.4,116.4,0.6,0.6
2021-04-06,2,0,0,0,0,-0.112,-1.57,-0.39,0.02,0.265,0.551,1,13,37,1.71,0.41,6.0,3.0,0,0,43.8,35.6,5.8,9.0,0.0,5.4,6.8,6.0,8.0,11.2,170.4,9.44,44.0,9.4,4.2,4.2,5.8,7.8,1.0,4.144,1.616,186.2,112.4,0.6,0.4
2021-04-06,1,0,0,0,0,0.388,-0.03,0.112,1.57,0.267,0.828,0,16,54,1.0,0.93,3.0,1.0,0,0,44.2,36.0,6.4,9.8,0.4,6.2,7.0,6.8,6.6,10.6,174.2,8.84,41.4,9.2,4.4,4.2,6.2,7.4,1.2,4.244,1.7220000000000002,177.2,105.0,0.6,0.2
2021-04-06,0,0,0,0,0,0.273,2.09,0.227,-1.08,0.295,0.742,0,21,57,4.34,1.42,2.0,1.0,1,1,43.4,36.0,5.0,9.2,0.4,4.8,6.0,7.2,6.8,10.8,173.6,8.64,39.8,8.2,4.8,4.4,6.0,6.6,1.6,4.593999999999999,1.616,169.8,99.8,0.4,0.0
2021-04-06,3,0,0,0,0,-0.229,1.07,-0.273,-2.09,0.132,0.406,0,9,59,2.62,1.96,4.0,0.0,1,1,43.2,34.4,3.4,7.0,0.6,3.4,7.2,7.0,7.2,11.2,177.2,8.84,39.2,7.4,4.0,3.6,5.8,6.2,1.6,3.754,1.472,164.6,97.4,0.4,0.0
2021-04-06,6,0,0,0,0,0.112,1.42,-0.612,-4.0,0.071,0.34,0,7,65,2.94,0.7,1.0,0.0,1,0,41.4,33.4,3.6,7.4,0.6,3.6,6.2,6.8,7.2,10.0,170.0,8.8,37.0,6.0,3.4,3.0,5.8,7.0,1.2,3.21,1.338,160.6,94.4,0.6,0.2
2021-04-06,5,0,0,0,0,0.612,3.97,-0.113,-1.44,0.179,0.579,0,8,73,2.86,2.03,0.0,0.0,0,1,41.0,33.8,4.0,8.4,0.6,4.0,5.2,7.2,7.8,11.0,164.2,9.0,39.0,7.6,4.2,3.8,5.6,6.0,1.2,3.91,1.462,165.4,98.0,0.6,0.4
