GameDate,Team,OPS,BB,HBP,SO,ERA,BB_p,K,IR,IS,TBF,Recent_5_Win,Recent_5_Loss,home_away,Result
2021-04-03,2,0.413,1,0,3,5.63,4,8,2,0,36,0,0,0,0
2021-04-03,3,0.708,4,0,8,1.0,1,3,0,0,32,0,0,1,1
2021-04-04,0,0.648,3,0,6,4.5,2,3,4,2,33,0,0,0,0
2021-04-04,1,0.713,2,0,3,1.0,3,6,3,0,37,0,0,1,1
2021-04-04,2,0.619,5,1,9,7.88,6,6,6,2,40,0,1,0,0
2021-04-04,3,1.038,6,2,6,2.0,5,9,0,0,42,1,0,1,1
2021-04-04,4,0.856,1,0,5,5.63,3,8,0,0,34,0,0,0,0
2021-04-04,5,1.063,3,0,8,3.0,1,5,0,0,38,0,0,1,1
2021-04-04,6,0.5,5,0,10,3.12,3,6,1,0,35,0,0,0,0
2021-04-04,7,0.58,3,0,6,2.0,5,10,4,0,38,0,0,1,1
2021-04-04,8,0.582,5,0,9,1.0,4,10,2,0,35,0,0,0,1
2021-04-04,9,0.647,4,1,10,2.0,5,9,3,1,40,0,0,1,0
2021-04-06,2,0.551,1,0,7,6.75,5,5,6,3,36,0,0,0,0
2021-04-06,1,0.828,5,0,5,3.0,1,7,3,1,35,0,0,1,1
2021-04-06,0,0.742,2,1,10,3.27,2,13,2,1,41,0,0,0,1
2021-04-06,3,0.406,2,1,13,3.27,2,10,4,0,49,0,0,1,0
2021-04-06,6,0.34,2,1,8,2.25,3,12,1,0,31,0,0,0,0
2021-04-06,5,0.579,3,0,12,1.0,2,8,0,0,31,0,0,1,1
2021-04-06,8,0.361,1,0,6,2.0,4,10,1,0,33,0,0,0,1
2021-04-06,7,0.414,4,0,10,2.0,1,6,1,1,32,0,0,1,0
2021-04-06,4,1.022,4,1,10,5.0,1,7,0,0,38,0,0,0,1
2021-04-06,9,0.722,1,3,7,9.0,4,10,5,2,48,0,0,1,0
2021-04-07,2,0.684,3,1,6,1.13,3,5,2,0,33,0,1,0,0
2021-04-07,1,0.536,3,0,5,0.0,3,6,4,0,38,1,0,1,1
2021-04-07,0,0.771,7,1,5,3.75,5,10,5,2,52,1,0,0,1
2021-04-07,3,0.51,5,2,10,6.0,7,5,0,0,59,0,1,1,0
2021-04-07,6,1.077,10,0,11,0.0,6,6,4,0,37,0,1,0,1
2021-04-07,5,0.464,6,1,6,16.0,10,11,1,1,55,1,0,1,0
2021-04-07,8,0.585,7,2,5,7.88,5,1,6,5,40,1,0,0,0
2021-04-07,7,0.821,5,0,1,2.0,7,5,5,1,41,0,1,1,1
2021-04-07,4,0.729,8,0,8,11.25,6,8,4,1,41,1,0,0,0
2021-04-07,9,1.021,6,2,8,6.0,8,8,3,3,43,0,1,1,1
2021-04-08,2,0.847,4,0,5,1.0,4,5,3,1,36,0,2,0,1
2021-04-08,1,0.406,4,0,5,4.0,4,5,1,1,39,2,0,1,0
2021-04-08,0,0.617,6,1,7,3.0,7,5,2,0,38,2,0,0,1
2021-04-08,3,0.629,7,1,5,5.0,6,7,1,1,39,0,2,1,0
2021-04-08,6,0.445,6,0,11,5.63,4,7,4,2,37,1,1,0,0
2021-04-08,5,0.835,4,1,7,1.0,6,11,0,0,36,1,1,1,1
