GameDate,Team,OPS,BB,HBP,SO,ERA,BB_p,K,IR,IS,TBF,Recent_5_Win,Recent_5_Loss,home_away,Result
2021-04-03,2,0.413,3.0,0,6.0,4.5,2.0,3.0,2.0,0.0,33.0,0,0,0,0
2021-04-03,3,0.708,2.5,0,8.0,3.885,2.0,8.0,0.0,0.0,37.0,0,0,1,1
2021-04-04,0,0.648,4.0,0,7.0,3.84,3.0,8.666666666666666,4.0,2.0,42.0,0,0,0,0
2021-04-04,1,0.713,4.5,0,7.0,3.63,4.0,7.75,3.0,0.0,41.0,0,0,1,1
2021-04-04,2,0.619,4.0,1,7.6,4.904,4.2,7.2,6.0,2.0,42.2,0,1,0,0
2021-04-04,3,1.038,4.0,2,7.6,5.804,4.4,8.2,0.0,0.0,44.2,1,0,1,1
2021-04-04,4,0.856,3.8,0,7.0,6.55,4.6,6.4,0.0,0.0,44.2,0,0,0,0
2021-04-04,5,1.063,2.8,0,8.0,7.4,5.6,6.0,0.0,0.0,43.8,0,0,1,1
2021-04-04,6,0.5,2.8,0,7.8,7.1,5.2,6.0,1.0,0.0,46.4,0,0,0,0
2021-04-04,7,0.58,4.2,0,6.6,6.1,5.6,7.2,4.0,0.0,45.6,0,0,1,1
2021-04-04,8,0.582,4.4,0,7.0,5.5,6.8,7.2,2.0,0.0,46.4,0,0,0,1
2021-04-04,9,0.647,5.4,1,6.8,4.843999999999999,6.6,8.0,3.0,1.0,47.0,0,0,1,0
2021-04-06,2,0.551,6.8,0,6.0,4.144,5.8,7.8,6.0,3.0,44.0,0,0,0,0
2021-04-06,1,0.828,7.0,0,6.8,4.244,6.2,7.4,3.0,1.0,41.4,0,0,1,1
2021-04-06,0,0.742,6.0,1,7.2,4.593999999999999,6.0,6.6,2.0,1.0,39.8,0,0,0,1
2021-04-06,3,0.406,7.2,1,7.0,3.754,5.8,6.2,4.0,0.0,39.2,0,0,1,0
2021-04-06,6,0.34,6.2,1,6.8,3.21,5.8,7.0,1.0,0.0,37.0,0,0,0,0
2021-04-06,5,0.579,5.2,0,7.2,3.91,5.6,6.0,0.0,0.0,39.0,0,0,1,1
2021-04-06,8,0.361,4.6,0,6.6,3.91,5.4,6.6,1.0,0.0,39.6,0,0,0,1
2021-04-06,7,0.414,4.2,0,6.8,3.16,5.2,6.4,1.0,1.0,40.2,0,0,1,0
2021-04-06,4,1.022,3.2,1,5.8,2.8,3.8,8.4,0.0,0.0,37.4,0,0,0,1
2021-04-06,9,0.722,4.6,3,6.8,2.764,5.0,7.8,5.0,2.0,39.6,0,0,1,0
2021-04-07,2,0.684,4.2,1,7.2,3.864,5.6,8.8,2.0,0.0,39.6,0,1,0,0
2021-04-07,1,0.536,4.2,0,7.2,4.14,5.2,10.0,4.0,0.0,38.8,1,0,1,1
2021-04-07,0,0.771,4.4,1,7.0,5.566000000000001,5.4,9.4,5.0,2.0,39.8,1,0,0,1
2021-04-07,3,0.51,3.8,2,7.6,6.566,5.6,7.8,0.0,0.0,41.8,0,1,1,0
2021-04-07,6,1.077,3.4,0,7.0,9.552,5.4,7.4,4.0,0.0,42.6,0,1,0,1
2021-04-07,5,0.464,3.6,1,6.2,9.052,4.8,7.0,1.0,1.0,43.6,1,0,1,0
2021-04-07,8,0.585,4.2,2,6.0,9.376,4.8,5.2,6.0,5.0,45.0,1,0,0,0
2021-04-07,7,0.821,4.4,0,5.6,9.15,5.0,5.6,5.0,1.0,45.2,0,1,1,1
2021-04-07,4,0.729,4.4,0,5.0,8.35,6.0,5.8,4.0,1.0,45.0,1,0,0,0
2021-04-07,9,1.021,4.4,2,5.2,5.8,6.0,6.2,3.0,3.0,43.6,0,1,1,1
2021-04-08,2,0.847,5.0,0,5.2,5.0,5.8,6.0,3.0,1.0,42.2,0,2,0,1
2021-04-08,1,0.406,4.4,0,6.8,5.126,6.2,6.6,1.0,1.0,41.0,2,0,1,0
2021-04-08,0,0.617,4.0,1,7.2,4.901999999999999,5.2,6.4,2.0,0.0,40.0,2,0,0,1
2021-04-08,3,0.629,4.8,1,7.2,6.101999999999999,4.6,5.4,1.0,1.0,40.6,0,2,1,0
2021-04-08,6,0.445,4.8,0,6.8,7.302,4.8,4.6,4.0,2.0,42.2,1,1,0,0
2021-04-08,5,0.835,3.8,1,7.0,7.0280000000000005,5.0,5.0,0.0,0.0,40.6,1,1,1,1
2021-04-08,8,0.767,3.6,1,5.8,6.502,4.0,5.0,2.0,0.0,40.0,1,1,0,1
2021-04-08,7,0.715,4.2,1,6.2,6.502,4.4,5.0,2.0,0.0,39.4,1,1,1,0
2021-04-08,4,0.874,3.8,1,7.0,5.302,4.4,5.6,3.0,0.0,38.4,1,1,0,1
2021-04-08,9,0.749,3.4,5,6.8,4.302,4.2,7.0,3.0,0.0,37.2,1,1,1,0
2021-04-09,5,0.624,5.2,4,6.2,4.256,4.0,7.8,5.0,3.0,38.4,0,0,0,0
2021-04-09,8,0.93,5.2,2,6.0,5.056,5.6,8.4,3.0,2.0,40.0,0,0,1,1
2021-04-09,1,0.515,5.4,0,5.4,4.279999999999999,5.2,8.8,0.0,0.0,40.0,0,0,0,0
2021-04-09,6,0.99,5.4,0,5.2,5.88,4.8,9.0,1.0,0.0,40.2,0,0,1,1
2021-04-09,7,0.725,5.8,0,5.8,5.68,5.2,8.2,0.0,0.0,39.8,0,0,0,0
2021-04-09,2,0.725,4.8,0,6.2,5.2,4.8,7.8,3.0,3.0,39.0,0,0,1,1
