GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,home_away,Recent_5_Win,Recent_5_Loss,Result
2021-04-03,2,,,,,,,,0,,,,,1,9,0.194,0.413,1.6,-0.375,-3.98,,,,,,,0,,,42,,,0.31,-0.127,-1.58,,,2,0,0,0,0,0
2021-04-03,3,,,,,,,,0,,,,,0,17,0.25,0.708,2.3,0.129,1.59,,,,,,,0,,,65,,,0.44,0.374,3.97,,,0,0,1,0,0,1
2021-04-04,0,,,,,,,,0,,,,,3,19,0.265,0.648,2.9,-0.33,-3.99,,,,,,,0,,,58,,,1.33,-0.169,0.42,,,4,2,0,0,0,0
2021-04-04,1,,,,,,,,0,,,,,1,11,0.267,0.713,2.73,0.17,-0.42,,,,,,,0,,,52,,,1.02,0.331,3.97,,,3,0,1,0,0,1
2021-04-04,2,32.0,31.0,1.0,6.0,0.0,1.0,1.0,1,3.0,14.0,1.0,123.0,0,23,0.229,0.619,1.77,-0.003,0.02,8.0,36.0,8.0,6.0,5.0,4.0,2,8.0,0.0,29,5.63,1.5,0.87,-0.499,-2.59,136.0,84.0,6,2,0,0,1,0
2021-04-04,3,36.0,32.0,6.0,8.0,0.0,5.0,4.0,2,8.0,13.0,9.0,136.0,1,14,0.344,1.038,1.64,0.498,2.58,9.0,32.0,6.0,1.0,1.0,1.0,1,3.0,0.0,45,1.0,0.78,0.75,0.003,-0.04,123.0,80.0,0,0,1,1,0,1
2021-04-04,4,,,,,,,,0,,,,,1,14,0.324,0.856,6.42,-0.374,-0.97,,,,,,,0,,,49,,,0.58,-0.125,-2.58,,,0,0,0,0,0,0
2021-04-04,5,,,,,,,,0,,,,,2,8,0.29,1.063,1.78,0.128,2.58,,,,,,,0,,,53,,,1.96,0.374,0.97,,,0,0,1,0,0,1
2021-04-04,6,,,,,,,,0,,,,,0,20,0.194,0.5,4.61,-0.385,-1.99,,,,,,,0,,,53,,,1.6,-0.113,2.99,,,1,0,0,0,0,0
2021-04-04,7,,,,,,,,0,,,,,0,10,0.194,0.58,3.62,0.113,-2.98,,,,,,,0,,,56,,,2.42,0.387,1.99,,,4,0,1,0,0,1
2021-04-04,8,,,,,,,,0,,,,,0,29,0.229,0.582,4.24,-0.19,-2.99,,,,,,,1,,,57,,,2.09,0.691,3.98,,,2,0,0,0,0,1
2021-04-04,9,,,,,,,,1,,,,,2,12,0.2,0.647,2.41,-0.69,-3.98,,,,,,,0,,,58,,,1.45,0.193,2.98,,,3,1,1,0,0,0
2021-04-06,2,37.0,33.0,2.5,7.0,0.0,1.5,3.0,0,6.0,10.5,4.0,146.0,1,13,0.265,0.551,1.71,-0.39,0.02,8.0,38.0,9.5,6.5,6.0,5.0,0,7.0,1.0,37,6.755,1.815,0.41,-0.112,-1.57,145.5,84.0,6,3,0,0,0,0
2021-04-06,1,33.0,30.0,4.0,8.0,1.0,4.0,2.0,0,3.0,10.0,9.0,118.0,0,16,0.267,0.828,1.0,0.112,1.57,9.0,37.0,9.0,1.0,1.0,3.0,0,6.0,0.0,54,1.0,1.33,0.93,0.388,-0.03,142.0,90.0,3,1,1,0,0,1
