home_Team,away_Team,home_Recent_5_Win,home_Recent_5_Loss,home_OPS,home_BB,home_HBP,home_SO,home_ERA,home_BB_p,home_K,home_IR,home_IS,home_TBF,away_OPS,away_BB,away_HBP,away_SO,away_ERA,away_BB_p,away_K,away_IR,away_IS,away_TBF
9,1,1,4,0.505,1.6,0,10.0,9.952,3.2,8.2,2,0,42.0,0.668,2.8,0,5.8,4.876,3.8,6.6,5,0,39.0
5,2,4,1,0.827,2.8,1,7.6,4.64,3.0,7.6,0,0,39.4,0.789,3.6,0,8.4,5.576,3.2,6.0,3,3,40.0
8,3,3,2,0.732,4.2,1,5.8,5.34,2.4,7.0,4,3,39.2,0.887,3.0,0,6.6,2.8,3.4,8.2,4,1,36.8
4,2,3,2,1.059,2.4,2,5.6,2.0,2.8,9.2,3,0,39.0,0.659,3.0,0,4.6,5.126,2.6,6.2,3,2,40.0
0,3,4,1,0.769,3.6,1,6.0,1.3400000000000003,2.2,12.0,4,1,36.4,0.505,3.4,1,11.0,5.926,2.2,6.2,0,0,35.6
3,1,1,4,0.668,4.6,0,7.2,7.826,3.0,6.4,0,0,40.0,0.906,2.6,1,6.4,6.4,4.2,6.2,1,1,41.8
1,7,2,3,0.658,4.4,0,6.0,2.8,3.6,8.2,1,0,38.2,0.429,4.6,0,6.8,2.062,1.0,6.4,3,1,34.2
5,8,2,3,0.339,3.0,0,5.6,3.8,5.0,5.6,0,0,38.4,1.18,5.6,1,7.0,1.99,2.8,7.0,0,0,39.6
6,5,1,2,0.552,6.2,3,9.6,3.626,6.6,8.2,2,1,37.8,1.01,5.4,0,7.8,3.508,4.6,7.4,3,1,43.2
1,2,2,3,0.968,3.6,0,6.4,4.0920000000000005,5.6,8.8,2,1,38.8,0.78,3.6,1,8.4,6.426000000000002,2.8,8.4,3,1,39.0
5,2,3,2,0.339,3.6,0,6.0,3.196,3.8,6.8,2,2,40.4,0.478,3.6,0,6.2,6.136,3.6,7.2,1,0,41.0
9,1,1,2,0.707,4.2,0,8.4,4.126,3.2,6.6,2,1,38.8,0.781,4.6,0,6.4,5.8,4.4,7.2,1,0,42.2
3,5,2,3,0.746,5.2,1,7.4,3.9,2.8,7.4,0,0,35.8,0.485,5.0,1,7.4,5.0200000000000005,5.0,7.4,2,2,42.6
3,4,3,2,0.699,3.6,1,7.4,5.776,5.0,6.6,5,1,39.6,0.737,6.6,1,7.2,3.8,3.6,6.4,4,2,39.0
3,0,3,2,0.563,5.2,1,8.2,3.3260000000000005,3.8,4.4,0,0,37.6,0.379,4.4,0,4.8,5.326,6.2,6.0,0,0,39.6
2,9,2,3,0.603,4.6,0,6.6,2.3000000000000007,2.2,6.4,4,0,36.4,0.629,3.6,0,5.2,2.618,2.4,8.0,0,0,40.0
2,9,3,2,0.683,3.8,0,8.8,7.000000000000002,3.0,7.6,6,1,43.2,1.079,3.4,0,6.6,6.651999999999999,3.4,8.8,1,0,38.8
8,4,2,3,0.805,3.2,0,6.2,3.75,3.2,7.6,0,0,38.8,0.37,2.8,0,7.0,3.226,3.0,8.4,0,0,36.6
5,9,2,3,0.971,2.4,1,6.4,6.4,3.4,6.2,1,1,39.2,0.907,2.8,0,7.2,3.75,2.6,6.4,1,1,36.4
9,0,2,3,0.899,2.2,1,7.8,3.718,3.6,8.6,2,0,39.8,0.485,3.0,0,7.0,5.3260000000000005,4.0,6.2,2,1,39.2
4,1,3,2,0.807,2.4,0,9.8,4.46,6.0,10.0,0,0,43.8,0.542,4.0,0,9.6,6.604000000000001,2.4,7.0,0,0,40.0
9,1,1,4,0.576,3.4,1,6.8,8.315999999999999,3.8,8.0,0,0,41.6,0.743,2.8,0,9.2,4.489999999999999,4.6,7.2,4,0,43.2
3,4,2,3,0.795,4.4,0,7.0,4.776,3.2,5.4,1,1,37.6,0.636,4.0,1,6.0,4.976000000000001,3.4,7.8,2,1,39.6
8,5,3,2,0.406,5.4,0,5.0,3.72,4.2,10.6,2,0,40.6,0.451,4.8,0,9.4,7.976000000000001,6.6,7.8,3,1,41.8
6,4,2,3,0.362,3.8,0,9.0,6.726000000000001,3.2,6.6,2,0,39.2,0.631,5.2,0,6.2,5.55,3.2,7.8,2,0,41.4
4,5,1,4,0.511,3.8,0,6.6,5.222,3.2,7.2,0,0,43.2,0.071,2.2,0,5.0,3.758,4.8,6.4,1,0,37.6
3,0,0,1,0.51,4.0,2,9.0,2.09,2.6666666666666665,7.333333333333333,0,0,41.0,0.771,2.5,1,8.0,3.885,2.0,8.0,5,2,37.0
2,1,2,3,1.353,3.0,2,8.0,4.000000000000002,3.4,7.2,0,0,39.0,0.789,3.0,1,8.2,3.776,4.8,7.8,3,1,39.6
0,9,2,3,0.909,4.2,0,8.0,4.976000000000001,3.4,7.0,5,2,39.4,0.554,2.4,1,7.6,6.975999999999999,4.8,7.0,3,3,40.0
6,7,1,4,0.452,4.6,1,6.0,5.9,2.4,5.0,0,0,38.6,0.523,3.6,0,6.6,3.85,2.0,8.0,1,0,37.0
1,6,4,1,0.53,2.6,0,5.2,5.726,4.4,7.0,2,0,37.2,0.59,3.8,1,10.0,5.976,5.2,6.6,2,0,41.2
4,3,1,4,0.665,3.8,0,6.8,5.752,5.0,8.6,2,0,43.0,0.97,5.8,1,7.2,2.726,3.0,5.6,0,0,37.6
0,1,2,3,0.418,3.8,0,8.0,2.726,4.2,5.6,0,0,37.6,0.495,3.8,0,5.2,3.726,4.4,7.4,1,0,40.0
1,6,1,4,0.414,4.0,0,8.4,5.343999999999999,5.0,9.8,5,3,44.0,0.814,3.2,0,8.2,5.996,4.4,8.0,0,0,41.2
0,7,4,1,0.637,2.6,0,5.8,8.126000000000001,4.8,7.2,5,1,42.4,0.603,2.8,1,6.2,3.3,2.6,7.4,0,0,36.4
1,6,1,2,1.011,3.4,0,7.2,3.266,3.2,9.0,4,0,38.0,0.843,5.4,0,9.8,2.6,6.2,7.8,1,1,38.2
9,7,3,2,0.446,5.4,0,7.4,4.176,3.2,6.2,2,2,36.0,0.881,4.6,1,5.6,2.818,3.4,9.4,0,0,41.2
9,1,1,3,0.997,3.8,2,9.2,3.8,3.6,6.8,0,0,39.4,0.757,3.4,0,6.8,5.8,3.8,6.4,4,3,41.0
3,7,2,3,0.849,3.0,0,8.6,6.026,3.4,3.8,1,0,42.8,0.572,2.2,2,7.8,3.2,2.8,6.0,0,0,37.6
7,8,2,3,0.432,2.2,0,7.4,4.8,2.0,6.0,0,0,38.8,0.747,2.4,0,6.2,3.986,1.6,9.0,0,0,36.2
8,4,1,0,0.232,5.6,0,6.0,4.116,6.6,10.2,2,0,39.6,0.603,4.2,0,6.8,5.345999999999999,5.0,5.2,0,0,41.8
1,3,3,2,0.522,3.8,0,7.0,2.912,3.2,8.6,4,3,39.4,0.912,2.0,2,8.4,6.176,4.0,8.0,0,0,37.2
6,1,3,2,0.516,3.2,1,8.2,2.89,3.4,9.4,0,0,38.4,0.787,3.2,1,6.2,4.764,3.0,6.2,4,0,40.6
5,4,1,4,0.612,4.8,0,6.2,6.626,2.4,5.2,2,1,36.8,0.845,2.8,0,9.0,3.5700000000000003,2.2,9.8,2,0,41.8
3,8,3,2,0.411,3.4,1,7.8,3.8,3.6,9.4,0,0,39.8,0.629,2.2,0,7.2,4.076,3.8,6.8,2,1,37.6
9,3,5,0,0.814,4.0,2,5.8,1.95,2.4,7.8,2,0,35.4,0.408,2.0,0,9.0,2.45,5.6,6.2,1,0,36.0
7,4,3,2,0.627,3.8,0,10.8,6.18,3.8,7.0,4,2,43.8,0.825,3.0,0,6.0,2.272,2.6,7.8,3,1,38.0
3,1,2,3,0.558,1.4,3,11.2,3.9,4.4,6.4,5,4,40.0,0.923,4.8,2,8.0,3.9260000000000006,5.0,7.4,0,0,39.2
4,3,4,1,0.703,3.0,0,7.4,4.726000000000001,5.4,7.6,1,0,40.4,0.581,3.0,0,8.4,3.8,2.8,5.4,1,0,38.2
2,1,3,2,0.444,4.0,0,8.6,5.478,4.0,8.6,1,0,40.4,0.525,3.2,0,5.0,2.376,3.0,8.6,0,0,37.0
6,8,2,3,0.485,3.4,0,8.4,5.526,3.8,5.8,3,0,38.4,0.733,4.4,0,5.6,4.1,4.0,7.0,3,0,40.8
2,9,2,0,0.236,3.8,0,6.6,2.25,2.8,8.4,2,0,37.6,1.178,2.8,0,7.6,5.402,3.4,5.0,0,0,38.8
2,6,2,3,1.153,5.6,0,7.6,3.6000000000000014,1.8,6.2,0,0,36.4,0.686,2.8,1,8.6,5.0,2.8,7.2,0,0,42.6
1,4,3,2,0.758,2.4,2,5.8,2.95,4.2,7.2,3,1,39.6,0.619,2.4,0,7.2,10.1,3.6,6.6,1,1,42.2
3,5,2,3,0.702,3.4,0,8.0,3.35,5.0,6.2,1,0,40.2,0.825,4.0,1,7.0,4.076,4.0,8.0,2,0,39.4
1,0,5,0,0.839,4.6,0,7.8,4.026,4.8,7.2,1,1,37.4,0.867,3.6,0,6.4,3.776,3.2,6.0,2,0,37.2
6,3,2,3,0.809,4.8,1,6.8,6.0760000000000005,3.6,7.0,5,2,39.6,0.523,2.6,1,9.6,4.35,2.4,6.0,2,2,38.6
4,7,2,3,0.445,4.0,1,9.8,3.752,3.0,8.2,7,4,38.0,0.871,3.6,0,9.4,6.556,5.2,9.0,1,1,43.8
8,4,3,2,0.689,4.2,1,6.2,2.852,2.8,7.6,0,0,36.0,0.945,2.0,0,4.8,3.0,2.8,10.0,2,1,38.0
6,0,0,3,0.995,4.8,1,7.2,6.626,7.2,7.4,4,0,43.2,0.509,5.4,0,5.4,4.279999999999999,5.2,8.8,0,0,40.0
0,3,1,4,0.508,4.8,0,6.0,5.15,3.0,6.6,5,2,38.8,0.57,2.4,0,7.4,2.216,4.2,6.4,0,0,38.2
6,4,1,4,1.06,4.0,1,9.0,4.76,4.6,7.8,0,0,40.4,0.58,2.8,0,5.8,4.8,3.8,6.8,2,0,40.8
8,4,2,3,0.715,4.8,0,6.4,2.776,2.6,7.0,2,0,38.0,0.401,4.0,0,6.6,3.376,3.2,9.0,0,0,37.2
6,7,3,2,1.282,5.4,1,6.8,2.6,2.4,9.6,0,0,37.2,0.632,4.6,2,10.2,7.624,3.0,8.2,1,0,39.8
3,9,1,4,0.76,4.8,0,7.0,6.35,4.6,6.2,4,3,40.0,0.74,3.6,1,9.6,4.926,3.8,6.0,1,1,38.0
5,3,4,1,0.673,6.0,1,7.4,3.68,2.6,7.0,0,0,38.8,0.57,4.2,0,8.8,3.076,3.6,5.6,2,0,35.4
8,9,3,2,0.89,2.0,0,4.6,2.564,3.4,7.6,1,0,38.4,0.834,2.8,0,8.4,2.976,3.2,6.6,3,0,35.8
7,6,3,2,0.688,3.6,1,7.8,3.83,3.6,6.6,0,0,37.2,0.449,3.0,0,7.2,3.2060000000000004,3.8,6.6,1,0,39.0
7,8,3,2,0.637,3.2,0,7.8,2.476,2.2,8.0,1,0,37.2,0.697,6.8,0,7.8,3.826000000000001,2.6,7.2,4,0,34.4
7,1,1,4,1.083,2.2,1,6.4,3.504,3.4,7.6,2,0,41.0,0.729,4.4,1,8.6,4.476,3.6,9.2,2,1,38.2
3,5,3,2,0.9,3.4,0,7.4,6.8420000000000005,4.8,6.0,0,0,37.8,0.454,4.0,0,7.8,2.8,3.4,7.6,0,0,35.8
