GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
04월 02일,한화,41,36,4,10,0,4,5,0,11,8,7,161,1,20,0.278,0.699,3.35,-0.141,-0.58,8,35,9,6,5,3,0,4,1,09월 09일,135-88,3-0,29,5.63,1.5,0.6,-0.36,0.08
04월 02일,두산,35,32,6,9,1,6,3,0,4,9,9,135,2,15,0.281,0.718,1.63,0.359,-0.08,9,41,10,4,4,5,0,11,0,08월 07일,161-103,1-0,47,4,1.67,1.38,0.14,0.6
04월 02일,SSG,42,36,4,8,0,4,3,1,8,10,11,144,0,16,0.222,0.571,7.39,-0.207,-1.1,10,31,0,0,0,1,0,11,0,09월 10일,124-86,0-0,96,0,0.1,0.62,0.705,5.1
04월 02일,NC,31,30,0,0,0,0,1,0,11,9,10,124,0,1,0,0.032,1.63,-0.704,-5.11,10,42,8,4,4,3,1,8,0,10월 11일,144-101,04월 03일,72,3.6,1.1,2.26,0.206,1.11
04월 02일,삼성,30,29,1,2,0,1,1,0,5,7,14,110,0,6,0.069,0.169,2.12,-0.431,-3.59,8,38,11,4,4,5,0,4,0,11월 05일,146-87,04월 01일,50,4.5,2,0.69,-0.069,0.08
04월 02일,KT,38,32,4,11,0,4,5,0,4,11,5,146,2,21,0.344,0.838,1.91,0.068,-0.09,9,30,2,1,1,1,0,5,0,07월 14일,110-74,0-0,68,1,0.33,0.92,0.43,3.59
04월 02일,LG,39,33,9,6,1,9,3,2,10,8,8,131,0,14,0.182,0.615,1.43,0.147,4.43,9,34,3,0,0,3,2,10,0,06월 10일,124-84,5-0,76,0,0.67,0.64,0.352,3.59
04월 02일,KIA,34,29,0,3,0,0,3,2,10,6,10,124,1,12,0.103,0.373,1.76,-0.35,-3.59,9,39,6,9,5,3,2,10,1,08월 08일,131-87,0-0,64,5,1,0.35,-0.148,-4.41
04월 02일,롯데,40,36,7,9,0,6,4,0,11,11,4,158,0,18,0.25,0.658,1.91,0.147,2.41,9,39,9,2,2,3,0,11,0,06월 10일,154-101,1-0,55,2,1.33,0.98,0.353,2.59
04월 02일,키움,39,36,2,9,0,2,3,0,11,6,10,154,0,19,0.25,0.614,2.6,-0.353,-2.58,9,40,9,7,3,4,0,11,0,11월 04일,158-108,0-0,59,3,1.44,0.7,-0.146,-2.41
04월 03일,한화,31,31,0,3,0,0,0,0,8,8,11,111,0,7,0.097,0.226,3.44,-0.742,-3.59,8,31,7,1,1,1,0,9,1,10월 03일,114-74,0-0,64,1.13,1,0.85,0.242,3.08
04월 03일,두산,31,29,1,7,1,1,1,0,9,10,3,114,0,14,0.241,0.612,2.34,-0.242,-3.09,9,31,3,0,0,0,0,8,0,08월 11일,111-78,0-0,71,0,0.33,1.48,0.741,3.59
04월 03일,SSG,36,31,4,7,3,4,3,0,8,5,10,144,0,14,0.226,0.802,1.48,0.002,-0.58,9,34,5,1,1,3,0,10,0,09월 06일,135-88,1-0,73,1,0.89,2.43,0.498,1.59
04월 03일,NC,34,31,1,5,0,1,3,0,10,9,6,135,1,17,0.161,0.429,3.32,-0.497,-1.6,9,36,7,4,3,3,0,8,3,05월 10일,144-89,02월 01일,57,3,1.11,0.53,-0.003,0.58
04월 03일,삼성,38,38,6,11,0,6,0,0,5,10,12,149,0,15,0.289,0.605,2.71,0.463,1.41,9,41,8,5,5,5,1,10,1,06월 10일,167-107,02월 01일,63,5,1.44,1.35,0.038,-0.41
04월 03일,KT,41,34,5,8,1,4,5,1,10,6,10,167,0,21,0.235,0.674,5.45,-0.038,0.4,9,38,11,6,5,0,0,5,0,10월 12일,149-102,02월 02일,74,5,1.22,1.54,-0.463,-1.41
04월 03일,LG,36,34,3,10,0,3,1,1,15,6,3,132,2,8,0.294,0.686,1.26,-0.112,-0.61,9,42,10,2,2,6,0,6,1,06월 11일,156-103,3-0,41,2,1.78,2.8,0.612,2.59
04월 03일,KIA,42,36,2,10,1,2,6,0,6,6,11,156,1,20,0.278,0.798,5.49,-0.611,-2.6,9,36,10,3,3,1,1,15,0,06월 03일,132-96,3-0,40,3,1.22,0.84,0.113,0.59
04월 03일,롯데,42,40,3,12,0,3,1,1,8,14,6,178,1,18,0.3,0.683,3.36,-0.304,-2.11,9.1,41,9,4,4,4,0,7,0,11월 10일,170-103,03월 01일,56,3.86,1.39,1.57,-0.197,2.09
04월 03일,키움,41,37,4,9,0,4,4,0,7,11,10,170,0,14,0.243,0.641,3.76,0.197,-2.11,10,42,12,3,3,1,1,8,0,06월 14일,178-120,0-0,58,2.7,1.3,2.12,0.304,2.1
04월 05일,삼성,42,29,6,6,1,6,7,1,6,9,8,169,0,21,0.207,0.713,2.38,0.449,1.41,9,40,11,5,4,1,0,9,1,07월 09일,165-110,02월 01일,44,4,1.33,2.53,0.05,-0.41
04월 05일,두산,40,37,5,11,1,4,1,0,9,7,9,165,1,23,0.297,0.721,4.49,-0.051,0.41,9,42,6,6,5,7,1,6,1,09월 08일,169-101,04월 01일,50,5,1.44,1.12,-0.451,-1.41
04월 05일,롯데,44,36,5,12,1,5,4,1,6,9,10,160,1,29,0.333,0.839,3.52,0.095,1.4,9,32,2,1,1,2,0,12,1,06월 09일,115-73,0-0,77,1,0.44,0.55,0.406,3.59
04월 05일,NC,32,30,1,2,1,1,2,0,12,6,9,115,0,5,0.067,0.325,1.66,-0.407,-3.6,9,44,12,5,5,4,1,6,1,09월 10일,160-101,03월 03일,50,5,1.78,0.81,-0.095,-1.41
04월 05일,SSG,40,36,8,11,0,7,1,1,5,12,9,142,1,14,0.306,0.75,2.08,0.508,3.41,9,41,12,5,5,5,0,9,0,07월 08일,135-83,0-0,41,5,1.89,0.95,-0.01,-0.41
04월 05일,KT,41,36,5,12,0,5,5,0,9,7,8,135,3,17,0.333,0.804,2.98,0.009,0.42,9,40,11,8,7,1,1,5,0,12월 09일,142-94,04월 04일,42,7,1.33,0.93,-0.51,-3.41
04월 05일,한화,37,34,3,7,0,3,2,0,12,10,6,160,0,16,0.206,0.478,3.25,-0.089,-1.6,8,35,6,4,4,6,1,2,0,06월 12일,128-71,03월 01일,50,4.5,1.5,2.25,-0.411,0.08
04월 05일,KIA,35,26,4,6,0,4,6,1,2,6,12,128,1,15,0.231,0.663,4.54,0.412,-0.08,9,37,7,3,1,2,0,12,0,10월 06일,160-103,06월 01일,68,1,1,2.29,0.089,1.59
04월 05일,LG,41,38,8,12,1,8,2,0,2,19,5,144,0,19,0.316,0.797,2.21,0.406,4.41,9,38,5,4,4,4,1,12,1,10월 04일,155-99,0-0,50,4,1,1.05,0.094,0.59
04월 05일,키움,38,33,4,5,1,3,4,1,12,10,4,155,0,11,0.152,0.536,2.04,-0.095,-0.58,9,41,12,8,5,2,0,2,1,05월 19일,144-96,0-0,53,5,1.56,1.05,-0.406,-4.41
04월 06일,삼성,41,34,7,10,0,6,4,0,6,10,9,149,1,19,0.294,0.712,2.09,0.129,2.4,9,32,5,1,1,2,0,6,1,09월 10일,129-75,1-0,67,1,0.78,0.33,0.37,3.59
04월 06일,두산,32,30,1,5,1,1,2,0,6,9,10,129,2,5,0.167,0.519,1.99,-0.369,-3.61,9,41,10,7,4,4,0,6,0,10월 09일,149-97,01월 01일,56,4,1.56,0.5,-0.131,-2.41
04월 06일,롯데,34,29,0,4,0,0,5,0,9,7,8,125,1,13,0.138,0.403,1.49,-0.354,-4.6,8,35,9,5,2,2,0,5,0,11월 06일,123-79,03월 02일,49,2.25,1.38,0.55,-0.147,-0.91
04월 06일,NC,35,32,5,9,0,4,2,0,5,11,6,123,0,14,0.281,0.668,1.53,0.147,0.9,9,34,4,0,0,5,0,9,0,07월 08일,125-73,0-0,68,0,1,0.45,0.354,4.59
04월 06일,SSG,33,32,3,6,1,3,0,1,10,9,6,115,1,4,0.188,0.493,1.05,0.055,-1.6,9,33,3,0,0,3,0,9,0,06월 11일,129-82,0-0,72,0,0.67,0.81,0.444,4.59
04월 06일,KT,33,30,0,3,0,0,3,0,9,6,11,129,0,11,0.1,0.282,4.85,-0.445,-4.59,9,33,6,3,3,0,1,10,1,09월 06일,115-84,0-0,70,3,0.67,0.31,-0.055,1.59
04월 06일,한화,41,34,4,7,1,3,5,1,6,11,10,166,0,27,0.206,0.649,3.1,-0.237,-0.6,8,43,12,7,7,5,2,10,0,04월 10일,182-113,04월 02일,55,7.88,2.13,0.74,-0.265,-2.92
04월 06일,KIA,43,36,7,12,0,7,5,2,10,4,10,182,0,25,0.333,0.831,2.02,0.265,2.9,9,41,7,4,3,5,1,6,1,11월 10일,166-100,4-0,60,3,1.33,1.34,0.235,0.58
04월 06일,LG,40,35,2,5,1,2,4,0,7,11,10,151,2,12,0.143,0.454,2.63,-0.368,-3.62,11,43,5,1,1,3,2,7,0,12월 12일,176-114,3-0,64,0.82,0.73,2.38,0.87,4.61
04월 06일,키움,43,38,1,5,0,1,3,2,7,12,12,176,1,16,0.132,0.417,2.34,-0.868,-4.62,11,40,5,2,2,4,0,7,1,11월 10일,151-94,02월 01일,61,1.64,0.82,1.84,0.369,3.61
04월 07일,삼성,41,35,5,8,0,5,5,1,6,11,10,175,0,20,0.229,0.598,2.82,-0.041,0.41,8,43,10,6,5,6,3,5,0,07월 09일,151-84,02월 01일,44,5.63,2,2.23,-0.458,-1.92
04월 07일,두산,43,33,6,10,0,5,6,3,5,7,9,151,0,28,0.303,0.816,3.44,0.459,1.9,9,41,8,5,5,5,1,6,0,11월 10일,175-104,04월 02일,31,5,1.44,1.7,0.043,-0.41
04월 07일,롯데,34,30,2,5,0,2,4,0,7,13,5,135,2,14,0.167,0.432,3.04,-0.136,-2.6,9,34,5,1,1,2,0,10,0,06월 09일,122-81,02월 01일,73,1,0.78,2.03,0.636,3.58
04월 07일,NC,34,31,1,5,0,1,2,0,10,6,9,122,0,12,0.161,0.438,4.22,-0.636,-3.6,9,34,5,2,1,4,0,7,0,05월 13일,135-85,03월 02일,64,1,1,1.27,0.137,2.59
04월 07일,SSG,39,37,4,12,0,4,0,0,9,6,10,129,0,19,0.324,0.702,1.18,0.125,0.41,9,35,8,3,3,0,1,7,3,07월 12일,130-81,0-0,64,3,0.89,1.38,0.373,1.59
04월 07일,KT,35,34,3,8,3,3,0,1,7,7,12,130,1,12,0.235,0.757,2.23,-0.373,-1.59,9,39,12,4,4,0,0,9,0,06월 10일,129-92,1-0,40,4,1.33,0.31,-0.127,-0.42
04월 07일,한화,37,34,2,7,0,1,3,0,7,10,8,141,0,19,0.206,0.505,1.91,-0.258,-2.59,8,37,8,6,6,5,0,7,1,10월 07일,154-90,1-0,47,6.75,1.63,1.12,-0.242,-1.92
