GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
05-01,KT,42,37,3,4,2,3,5,0,13,10,9,186,0,14,0.108,0.484,3.96,-0.362,-3.61,11.0,47,8,3,3,6,1,13,0,13-2,163-110,0-0,54,2.45,1.27,1.75,0.361,3.6
05-01,두산,47,39,3,8,0,3,6,1,13,13,2,163,1,22,0.205,0.608,4.14,-0.363,-3.62,11.0,42,4,3,3,5,0,13,2,10-9,186-107,1-0,64,2.45,0.82,1.78,0.362,3.6
05-01,삼성,36,30,1,6,0,1,6,0,6,12,6,142,2,10,0.2,0.533,4.22,-0.429,-4.35,8.0,36,9,4,3,3,0,9,1,5-9,139-89,5-0,52,3.38,1.5,0.82,-0.072,0.75
05-01,SSG,36,32,4,9,1,3,3,0,9,5,9,139,0,22,0.281,0.749,1.56,0.072,-0.75,9.0,36,6,1,1,6,0,6,0,12-6,142-89,5-0,57,1.0,1.33,1.64,0.428,4.33
05-01,롯데,40,35,5,8,0,5,4,1,6,7,12,151,1,20,0.229,0.611,2.22,0.092,-0.4,9.0,31,4,0,0,1,0,7,0,11-6,123-79,0-0,76,0.0,0.56,0.41,0.407,5.4
05-01,키움,31,30,0,4,0,0,1,0,7,11,6,123,1,4,0.133,0.294,0.99,-0.405,-5.4,9.0,40,8,5,5,4,1,6,0,7-12,151-98,2-0,36,5.0,1.33,0.43,-0.095,0.4
05-02,SSG,37,31,2,5,1,2,5,1,7,11,5,163,0,18,0.161,0.587,2.94,-0.203,-3.39,9.0,34,6,1,0,3,0,9,0,9-7,149-98,0-0,59,0.0,1.0,1.86,0.703,4.4
05-02,LG,34,31,1,6,0,0,3,0,9,9,7,149,0,12,0.194,0.459,3.47,-0.703,-4.4,9.0,37,5,2,2,5,1,7,1,11-5,163-96,2-0,51,2.0,1.11,0.95,0.203,3.4
05-02,NC,39,32,3,5,0,2,7,0,4,12,9,169,0,18,0.156,0.558,4.83,0.0,-2.35,8.0,33,7,4,4,2,1,4,0,12-4,114-75,2-0,54,4.5,1.13,1.28,-0.5,0.74
05-02,롯데,33,30,4,7,0,4,2,1,4,12,4,114,2,8,0.233,0.636,1.65,0.499,-0.74,9.0,39,5,3,3,7,0,4,0,12-9,169-100,7-3,69,3.0,1.33,3.01,0.0,2.33
05-02,두산,37,33,2,6,0,2,3,1,6,8,12,145,1,16,0.182,0.452,2.33,-0.254,-3.37,8.0,36,9,6,5,2,2,4,1,9-6,141-90,4-2,67,5.63,1.38,1.85,-0.245,-1.22
05-02,삼성,36,29,6,9,1,6,2,2,4,9,6,141,1,13,0.31,0.865,3.83,0.246,1.22,9.0,37,6,2,0,3,1,6,0,8-12,145-99,1-0,61,0.0,1.0,1.04,0.254,3.37
05-02,키움,47,42,5,17,0,5,4,0,8,11,6,151,0,27,0.405,0.876,2.07,0.114,-0.4,9.0,40,9,3,3,6,0,7,2,7-7,154-95,5-0,57,3.0,1.67,2.02,0.385,2.38
05-02,KT,40,33,3,9,2,3,6,0,7,7,7,154,1,20,0.273,0.9,4.36,-0.384,-2.41,9.0,47,17,5,3,4,0,8,0,11-6,151-100,0-0,28,3.0,2.33,0.47,-0.115,0.4
05-02,한화,43,40,3,8,2,3,3,0,13,11,7,183,1,11,0.2,0.631,2.36,-0.236,-3.56,11.0,46,6,2,2,5,2,8,0,9-13,175-108,3-0,51,1.64,1.0,2.23,0.733,3.58
05-02,KIA,46,38,2,6,0,2,5,2,8,9,13,175,1,24,0.158,0.5,4.16,-0.733,-3.57,11.0,43,8,3,3,3,0,13,2,11-7,183-120,0-0,63,2.45,1.0,1.64,0.235,3.59
05-03,SSG,34,29,1,7,0,1,5,0,5,9,7,127,4,13,0.241,0.629,5.12,-0.328,-4.38,8.0,33,7,4,0,1,0,7,0,7-8,134-84,0-0,58,0.0,1.0,0.32,-0.171,0.78
05-03,LG,33,32,4,7,0,4,1,0,7,7,8,134,0,12,0.219,0.523,1.31,0.17,-0.79,9.0,34,7,1,1,5,0,5,0,9-7,127-75,4-1,60,1.0,1.33,1.28,0.33,4.38
05-03,NC,49,44,13,19,2,13,3,2,8,7,7,169,1,20,0.432,1.217,1.43,0.58,7.64,9.0,39,11,4,4,1,0,3,1,13-9,143-94,3-0,35,4.0,1.33,0.64,-0.079,0.38
05-03,롯데,39,38,4,11,1,4,1,0,3,13,9,143,1,13,0.289,0.755,2.0,0.08,-0.4,9.0,49,19,13,13,3,2,8,2,7-7,169-111,1-1,29,13.0,2.44,0.65,-0.579,-7.63
05-03,두산,40,37,6,10,1,6,3,0,11,7,8,169,0,15,0.27,0.757,2.6,0.313,0.63,9.0,32,4,1,1,2,0,10,0,7-7,129-79,0-0,71,1.0,0.67,0.39,0.186,4.38
05-03,삼성,32,30,1,4,0,1,2,0,10,7,7,129,1,10,0.133,0.355,1.41,-0.186,-4.4,9.0,40,10,6,6,3,0,11,1,7-8,169-116,5-3,41,6.0,1.44,0.65,-0.313,-0.62
05-03,키움,35,32,0,6,0,0,3,0,7,8,9,138,0,14,0.188,0.445,0.94,-0.21,-5.37,8.0,45,13,9,9,8,0,5,0,9-9,172-96,2-2,12,10.13,2.63,0.15,-0.29,-4.21
05-03,KT,45,37,9,13,0,9,8,0,5,9,9,172,0,21,0.351,0.926,1.09,0.289,4.21,9.0,35,6,0,0,3,0,7,0,8-9,138-92,0-0,66,0.0,1.0,0.18,0.211,5.38
05-04,SSG,35,33,4,7,2,4,1,1,4,13,6,123,1,9,0.212,0.742,0.96,-0.093,-1.37,8.0,43,9,12,12,13,1,3,3,11-5,175-91,4-2,19,13.5,2.75,0.22,-0.408,-8.22
05-04,LG,43,29,12,9,3,11,13,1,3,11,5,175,3,14,0.31,1.156,0.9,0.407,8.21,9.0,35,7,4,4,1,1,4,2,13-6,123-86,0-0,52,4.0,0.89,0.21,0.093,1.39
05-04,NC,46,40,9,13,3,9,5,1,8,11,6,190,0,17,0.325,1.013,1.54,0.716,3.63,9.0,40,10,6,6,4,0,1,0,11-13,142-92,4-3,32,6.0,1.56,1.29,-0.216,-0.62
05-04,롯데,40,35,6,10,0,6,4,0,1,11,13,142,2,18,0.286,0.693,2.1,0.215,0.62,9.0,46,13,9,9,5,1,8,3,11-6,190-117,6-3,34,9.0,2.0,0.8,-0.715,-3.63
05-04,두산,45,40,11,15,2,11,2,2,5,13,8,171,0,15,0.375,1.072,0.85,0.641,5.62,9.0,37,8,6,6,5,0,4,3,5-13,141-85,0-0,29,6.0,1.44,0.47,-0.142,-0.61
05-04,삼성,37,31,6,8,3,5,5,0,4,5,13,141,2,9,0.258,0.899,1.54,0.142,0.62,9.0,45,15,11,11,2,2,5,2,13-8,171-118,1-0,31,11.0,1.89,0.56,-0.641,-5.61
05-04,키움,36,34,4,7,0,4,2,0,9,12,5,135,0,11,0.206,0.485,2.88,-0.147,-1.37,8.0,35,8,5,5,4,2,6,1,7-5,122-73,5-3,51,5.63,1.5,1.12,-0.354,-0.23
05-04,KT,35,29,5,8,1,5,4,2,6,7,5,122,1,9,0.276,0.848,2.41,0.352,0.21,9.0,36,7,4,4,2,0,9,0,12-5,135-92,0-0,49,4.0,1.0,1.62,0.147,1.39
05-04,한화,37,31,3,6,0,3,2,3,11,8,6,138,0,13,0.194,0.587,5.99,0.015,-2.37,9.0,32,3,1,0,2,0,9,0,11-6,130-87,0-0,74,0.0,0.56,1.3,0.486,4.38
05-04,KIA,32,30,1,3,0,0,2,0,9,11,6,130,1,10,0.1,0.256,2.72,-0.484,-4.38,9.0,37,6,3,3,2,3,11,0,8-6,138-90,2-0,76,3.0,0.89,1.35,-0.015,2.38
05-05,LG,37,31,2,7,0,2,4,1,9,9,5,129,2,17,0.226,0.55,3.88,-0.316,-2.38,8.0,38,10,5,5,4,0,5,1,5-12,154-91,3-1,45,5.63,1.75,0.47,-0.185,-0.23
05-05,두산,38,33,5,10,1,5,4,0,5,5,12,154,0,16,0.303,0.792,1.4,0.184,0.24,9.0,37,7,2,2,4,1,9,0,9-5,129-76,2-1,62,2.0,1.22,1.0,0.315,2.38
05-05,SSG,40,36,7,10,1,7,3,0,8,11,5,146,0,14,0.278,0.777,1.41,0.332,1.61,9.0,29,3,1,1,1,0,4,0,14-3,99-69,0-0,74,1.0,0.44,0.21,0.169,4.38
05-05,롯데,29,28,1,3,0,1,1,0,4,14,3,99,2,2,0.107,0.281,1.21,-0.17,-4.39,9.0,40,10,7,7,3,0,8,1,11-5,146-91,0-0,33,7.0,1.44,0.2,-0.33,-1.62
05-05,NC,36,35,6,10,0,6,0,0,2,8,12,121,0,7,0.286,0.649,2.0,0.053,0.63,9.0,36,7,2,2,2,0,5,1,9-12,137-94,0-0,72,2.0,1.0,0.61,0.446,3.38
05-05,KT,36,34,2,7,1,2,2,0,5,9,12,137,1,17,0.206,0.544,1.4,-0.446,-3.37,9.0,36,10,6,6,0,0,2,0,8-12,121-85,4-3,49,6.0,1.11,0.54,-0.055,-0.61
05-05,KIA,50,41,13,15,1,13,7,1,8,10,8,200,0,25,0.366,0.972,1.5,0.349,7.61,9.0,35,7,1,1,2,0,9,0,10-6,139-91,0-0,61,1.0,1.0,0.16,0.15,4.37
05-05,키움,35,33,1,7,0,1,2,0,9,10,6,139,1,13,0.212,0.53,0.59,-0.151,-4.4,9.0,50,15,13,13,7,1,8,1,10-8,200-118,2-2,23,13.0,2.44,0.26,-0.349,-7.62
05-05,삼성,31,30,1,5,1,1,1,0,8,10,5,140,1,6,0.167,0.461,4.38,-0.523,-4.38,8.0,34,9,3,3,1,0,8,1,4-7,120-82,1-0,60,3.38,1.25,0.81,0.022,1.79
05-05,한화,34,32,3,9,1,3,1,0,8,4,7,120,0,14,0.281,0.678,2.44,-0.021,-1.79,9.0,31,5,1,1,1,0,8,1,10-5,140-92,0-0,71,1.0,0.67,1.66,0.523,4.38
05-06,LG,38,33,5,9,2,5,2,0,7,9,6,160,0,13,0.273,0.821,1.92,0.184,-0.35,9.0,33,6,1,1,1,0,6,0,17-3,138-94,0-0,70,1.0,0.78,0.52,0.317,3.34
05-06,두산,33,32,1,6,0,1,1,0,6,17,3,138,1,8,0.188,0.431,1.36,-0.317,-3.35,9.0,38,9,5,5,2,0,7,2,9-6,160-104,1-0,37,5.0,1.22,0.34,-0.182,0.34
