GameID,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GO-FO,NP-S,IR-IS,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p
05-29,한화,33,31,1,6,0,1,2,0,8,6,11,129,1,9,0.194,0.436,2.94,-0.454,-4.31,8.0,36,9,3,3,3,1,6,1,8-5,149-97,1-1,61,3.38,1.50,1.31,-0.046,1.71
05-29,LG,36,30,3,9,1,2,3,1,6,8,5,149,0,23,0.300,0.782,5.23,0.046,-1.72,9.0,33,6,1,1,2,0,8,0,6-11,129-89,0-0,68,1.00,0.89,1.61,0.454,4.30
05-29,NC,37,35,5,9,2,4,1,1,7,11,7,152,0,16,0.257,0.754,5.30,-0.263,-0.29,8.0,36,8,6,5,4,1,4,0,12-6,139-86,1-0,26,5.63,1.50,0.71,-0.236,-3.29
05-29,SSG,36,31,6,8,0,5,4,1,4,12,6,139,1,11,0.258,0.651,2.15,0.236,3.30,9.0,37,9,5,4,1,1,7,2,11-7,152-97,4-3,46,4.00,1.11,1.75,0.264,0.29
05-29,롯데,41,33,3,8,2,3,6,1,10,10,4,170,1,21,0.242,0.860,2.18,-0.090,-2.30,8.0,44,13,9,7,5,1,5,0,13-7,177-109,7-2,33,7.88,2.25,0.39,-0.410,-4.29
05-29,삼성,44,38,9,13,0,9,5,1,5,13,7,177,1,28,0.342,0.879,1.48,0.410,4.30,9.0,41,8,3,3,6,1,10,2,10-4,170-104,5-0,56,3.00,1.56,0.93,0.090,2.30
05-29,두산,35,33,2,8,0,2,1,1,4,12,7,125,1,9,0.242,0.589,1.44,-0.194,-3.26,8.0,46,12,12,11,8,2,4,1,10-8,184-111,3-3,21,12.38,2.50,0.39,-0.306,-7.31
05-29,KT,46,34,12,12,1,11,8,2,4,10,8,184,1,25,0.353,1.018,2.08,0.307,7.31,9.0,35,8,2,2,1,1,4,0,12-7,125-85,0-0,56,2.00,1.00,0.20,0.194,3.28
05-29,키움,48,41,3,11,0,3,5,2,5,16,9,169,3,24,0.268,0.716,4.51,-0.556,-3.46,11.0,41,7,3,1,4,0,6,0,8-13,179-116,0-0,55,0.82,1.00,1.72,0.557,3.46
05-29,KIA,41,37,3,7,0,3,4,0,6,8,13,179,1,13,0.189,0.484,2.84,-0.555,-3.44,11.0,48,11,3,3,5,2,5,0,16-9,169-105,2-1,49,2.45,1.45,2.37,0.557,3.45
05-30,삼성,41,30,4,8,0,4,8,0,6,9,6,156,2,23,0.267,0.700,3.17,0.066,-1.26,9.0,38,7,3,2,4,0,4,0,10-12,147-94,0-0,57,2.00,1.22,1.72,0.434,2.24
05-30,LG,38,33,3,7,0,3,4,0,4,10,12,147,2,17,0.212,0.562,4.50,-0.435,-2.26,9.0,41,8,4,3,8,0,6,0,9-6,156-91,5-2,61,3.00,1.78,1.23,-0.066,1.26
05-30,SSG,41,34,5,11,0,5,4,1,6,10,7,164,2,21,0.324,0.772,6.01,0.070,-0.26,8.0,37,10,6,3,3,0,14,0,3-6,159-103,0-0,44,3.38,1.63,1.15,-0.570,-1.34
05-30,롯데,37,32,6,10,0,5,3,0,14,3,6,159,0,17,0.313,0.767,2.77,0.571,1.33,9.0,41,11,5,4,4,1,6,0,10-7,164-107,4-2,46,4.00,1.67,2.50,-0.070,0.25
05-30,한화,43,36,7,11,1,5,3,2,7,7,9,157,0,19,0.306,0.834,1.64,0.264,1.75,9.0,31,3,1,1,2,1,8,0,10-5,128-83,0-0,65,1.00,0.56,0.33,0.235,3.24
05-30,NC,31,28,1,3,0,1,2,1,8,10,5,128,2,9,0.107,0.337,2.03,-0.235,-3.26,9.0,43,11,7,6,3,2,7,1,7-9,157-110,2-2,38,6.00,1.56,0.35,-0.263,-1.75
05-30,KIA,33,32,1,5,1,1,1,0,11,8,8,134,1,12,0.156,0.463,2.32,-0.452,-3.25,8.0,37,7,3,3,4,1,6,1,9-7,135-86,1-0,46,3.38,1.38,0.53,-0.047,1.67
05-30,KT,37,30,3,7,1,3,4,1,6,9,7,135,0,23,0.233,0.666,2.63,0.047,-1.65,9.0,33,5,1,1,1,0,11,1,8-8,134-95,0-0,77,1.00,0.67,0.85,0.453,3.25
05-30,두산,47,37,9,10,1,9,9,1,7,11,6,183,0,18,0.270,0.885,1.70,0.661,3.74,9.0,37,9,4,4,2,1,4,1,10-10,153-98,4-0,35,4.00,1.22,0.47,-0.159,1.25
05-30,키움,37,34,4,9,1,4,2,1,4,10,10,153,2,14,0.265,0.765,1.12,0.161,-1.27,9.0,47,10,9,9,9,1,7,1,11-6,183-102,2-2,50,9.00,2.11,0.94,-0.660,-3.75
05-31,삼성,37,36,4,11,0,4,1,0,5,10,10,129,0,11,0.306,0.630,1.56,0.067,-1.25,9.0,34,7,2,2,1,0,8,0,12-5,133-93,1-1,52,2.00,0.89,1.53,0.434,3.25
05-31,LG,34,32,2,7,0,1,1,0,8,12,5,133,1,15,0.219,0.516,3.15,-0.434,-3.26,9.0,37,11,4,4,1,0,5,0,10-10,129-85,0-0,41,4.00,1.33,0.52,-0.068,1.24
05-31,SSG,44,35,4,6,1,4,9,0,7,9,13,170,0,28,0.171,0.598,1.49,0.107,-1.26,9.0,34,5,1,1,4,0,7,0,7-9,138-86,0-0,52,1.00,1.00,0.98,0.392,5.24
05-31,롯데,34,30,1,5,0,1,4,0,7,7,9,138,1,9,0.167,0.432,1.83,-0.391,-5.25,9.0,44,6,4,4,9,0,7,1,9-13,170-101,3-0,41,4.00,1.67,0.48,-0.108,1.26
05-31,한화,46,38,9,12,1,9,8,0,1,9,16,167,1,23,0.316,0.988,2.93,0.480,3.75,9.0,42,12,6,5,2,2,4,0,8-10,160-101,1-1,44,5.00,1.56,1.52,0.021,-1.75
05-31,NC,42,37,6,12,0,4,2,2,4,8,10,160,0,17,0.324,0.813,2.34,-0.020,1.75,9.0,46,12,9,9,8,0,1,1,9-16,167-95,6-3,44,9.00,2.22,1.32,-0.480,-3.75
05-31,KIA,37,33,1,5,0,0,4,0,10,8,7,133,0,21,0.152,0.455,2.89,-0.426,-4.29,8.0,40,5,5,5,10,0,7,1,6-11,163-92,8-3,59,5.63,1.88,1.36,-0.076,-0.30
05-31,KT,40,30,5,5,1,5,10,0,7,6,11,163,0,29,0.167,0.708,4.05,0.072,0.31,9.0,37,5,1,0,4,0,10,0,8-7,133-91,2-0,66,0.00,1.00,1.44,0.426,4.28
05-31,두산,34,27,0,2,0,0,5,0,6,12,7,132,0,13,0.074,0.293,11.41,-0.746,-5.26,8.0,27,2,1,1,2,0,8,1,6-6,102-73,1-0,75,1.13,0.50,0.79,0.247,3.68
05-31,키움,27,23,1,2,1,1,2,0,8,6,6,102,0,6,0.087,0.377,2.42,-0.245,-3.67,9.0,34,2,0,0,5,0,6,0,12-7,132-83,1-0,78,0.00,0.78,3.14,0.746,5.25
06-01,두산,39,35,0,9,0,0,2,1,9,7,10,146,0,25,0.257,0.659,13.97,-0.746,-5.25,8.0,30,5,1,1,0,0,9,0,11-5,117-81,1-0,65,1.13,0.63,0.76,0.245,3.67
06-01,키움,30,30,1,5,0,1,0,0,9,11,5,117,1,13,0.167,0.334,2.03,-0.245,-3.68,9.0,39,9,0,0,2,1,9,0,7-10,146-103,1-0,63,0.00,1.22,2.72,0.745,5.24
06-01,삼성,44,38,6,13,1,6,5,0,7,7,9,187,1,22,0.342,0.909,2.40,0.390,0.74,9.0,43,11,4,1,3,1,7,0,12-4,160-104,4-0,39,1.00,1.56,1.40,0.108,1.24
06-01,LG,43,37,4,11,0,4,3,1,7,12,4,160,0,28,0.297,0.681,2.09,-0.108,-1.25,9.0,44,13,6,6,5,0,7,1,7-9,187-117,4-0,44,6.00,2.00,1.32,-0.391,-0.75
06-01,SSG,39,36,4,8,0,3,2,1,10,9,6,169,0,21,0.222,0.588,4.15,0.312,-1.25,9.0,36,6,3,3,5,0,7,1,8-6,135-90,4-2,54,3.00,1.22,2.57,0.190,2.25
