GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2021-04-03,2,32,31,1,6,0,1,1,0,3,14,1,123,1,9,0.194,0.413,1.6,-0.375,-3.98,8.0,36,8,6,5,4,0,8,0,42,5.63,1.5,0.31,-0.127,-1.58,136,84,2,0,0,0
2021-04-03,3,36,32,6,8,0,5,4,0,8,13,9,136,0,17,0.25,0.708,2.3,0.129,1.59,9.0,32,6,1,1,1,0,3,0,65,1.0,0.78,0.44,0.374,3.97,123,80,0,0,1,1
2021-04-04,0,37,34,1,9,0,1,3,0,6,13,5,142,3,19,0.265,0.648,2.9,-0.33,-3.99,8.0,33,8,4,4,2,0,3,1,58,4.5,1.25,1.33,-0.169,0.42,118,80,4,2,0,0
2021-04-04,1,33,30,4,8,1,4,2,0,3,10,9,118,1,11,0.267,0.713,2.73,0.17,-0.42,9.0,37,9,1,1,3,0,6,0,52,1.0,1.33,1.02,0.331,3.97,142,90,3,0,1,1
2021-04-04,2,42,35,4,8,0,2,5,1,9,7,7,169,0,23,0.229,0.619,1.77,-0.003,0.02,8.0,40,11,7,7,6,2,6,2,29,7.88,2.13,0.87,-0.499,-2.59,155,84,6,2,0,0
2021-04-04,3,40,32,7,11,2,7,6,2,6,10,9,155,1,14,0.344,1.038,1.64,0.498,2.58,9.0,42,8,4,2,5,1,9,0,45,2.0,1.44,0.75,0.003,-0.04,169,104,0,0,1,1
2021-04-04,4,38,37,3,12,2,3,1,0,5,5,8,144,1,14,0.324,0.856,6.42,-0.374,-0.97,8.0,34,9,5,5,3,0,8,4,49,5.63,1.5,0.58,-0.125,-2.58,148,90,0,0,0,0
2021-04-04,5,34,31,5,9,4,5,3,0,8,8,11,148,2,8,0.29,1.063,1.78,0.128,2.58,9.0,38,12,3,3,1,0,5,2,53,3.0,1.44,1.96,0.374,0.97,144,96,0,0,1,1
2021-04-04,6,38,31,2,6,0,2,5,0,10,8,12,139,0,20,0.194,0.5,4.61,-0.385,-1.99,8.2,35,6,3,3,3,0,6,1,53,3.12,1.04,1.6,-0.113,2.99,139,91,1,0,0,0
2021-04-04,7,35,31,3,6,1,3,3,0,6,10,5,139,0,10,0.194,0.58,3.62,0.113,-2.98,9.0,38,6,2,2,5,0,10,0,56,2.0,1.22,2.42,0.387,1.99,139,82,4,0,1,1
2021-04-04,8,40,35,2,8,0,2,5,0,9,7,6,178,0,29,0.229,0.582,4.24,-0.19,-2.99,9.0,35,6,1,1,4,1,10,1,57,1.0,1.11,2.09,0.691,3.98,147,97,2,0,1,0
2021-04-04,9,35,30,1,6,1,1,4,1,10,8,9,147,2,12,0.2,0.647,2.41,-0.69,-3.98,9.0,40,8,2,2,5,0,9,0,58,2.0,1.44,1.45,0.193,2.98,178,119,3,1,0,1
2021-04-06,2,35,34,3,9,0,3,1,0,7,9,9,153,1,13,0.265,0.551,1.71,-0.39,0.02,8.0,36,8,6,6,5,0,5,2,37,6.75,1.63,0.41,-0.112,-1.57,154,88,6,3,0,0
2021-04-06,1,36,30,6,8,2,6,5,0,5,8,9,154,0,16,0.267,0.828,1.0,0.112,1.57,9.0,35,9,3,3,1,0,7,0,54,3.0,1.11,0.93,0.388,-0.03,153,97,3,1,1,1
2021-04-06,0,49,44,5,13,1,5,2,1,10,11,6,198,0,21,0.295,0.742,4.34,0.227,-1.08,11.0,41,5,4,4,2,1,13,0,57,3.27,0.64,1.42,0.273,2.09,177,111,2,1,1,0
2021-04-06,3,41,38,4,5,0,4,2,1,13,10,11,177,0,9,0.132,0.406,2.62,-0.273,-2.09,11.0,49,13,5,4,2,1,10,1,59,3.27,1.36,1.96,-0.229,1.07,198,129,4,0,0,1
2021-04-06,6,31,28,1,2,1,1,2,1,8,8,3,124,0,7,0.071,0.34,2.94,-0.612,-4.0,8.0,31,5,2,2,3,0,12,1,65,2.25,1.0,0.7,0.112,1.42,130,77,1,0,0,0
2021-04-06,5,31,28,2,5,1,2,3,0,12,11,7,130,0,8,0.179,0.579,2.86,-0.113,-1.44,9.0,31,2,1,1,2,1,8,1,73,1.0,0.44,2.03,0.612,3.97,124,81,0,0,1,1
2021-04-06,8,32,30,3,4,0,2,1,0,6,10,5,129,1,7,0.133,0.361,1.27,-0.059,-1.97,9.0,33,4,2,2,4,0,10,0,77,2.0,0.89,2.17,0.56,2.97,143,84,1,0,1,0
2021-04-06,7,33,29,2,4,0,2,4,0,10,13,6,143,2,7,0.138,0.414,3.67,-0.559,-2.98,9.0,32,4,3,2,1,0,6,0,67,2.0,0.56,0.62,0.06,1.97,129,86,1,1,0,1
2021-04-06,4,48,43,10,15,3,10,4,1,10,6,12,204,0,24,0.349,1.022,4.09,0.549,5.02,9.0,38,8,5,5,1,3,7,1,52,5.0,1.0,1.15,-0.048,-0.03,142,88,0,0,1,0
2021-04-06,9,38,32,5,8,1,5,1,3,7,9,8,142,1,13,0.25,0.722,1.38,0.048,0.01,9.0,48,15,10,9,4,1,10,3,49,9.0,2.11,1.28,-0.548,-5.01,204,125,5,2,0,1
2021-04-07,2,38,33,0,9,0,0,3,1,6,10,8,157,1,19,0.273,0.684,6.01,-0.745,-4.98,8.0,33,7,1,1,3,0,5,0,53,1.13,1.25,0.83,0.244,3.43,137,83,2,0,0,0
2021-04-07,1,33,30,1,7,0,1,3,0,5,10,7,137,1,13,0.233,0.536,1.86,-0.246,-3.42,9.0,38,9,0,0,3,1,6,0,66,0.0,1.33,2.41,0.746,4.97,157,98,4,0,1,1
2021-04-07,0,59,49,8,15,0,8,7,1,5,14,12,229,0,32,0.306,0.771,3.0,0.238,1.36,12.0,52,8,7,5,5,2,10,0,33,3.75,1.08,2.73,0.264,-0.36,218,134,5,2,1,0
2021-04-07,3,52,45,7,8,0,4,5,2,10,19,9,218,1,24,0.178,0.51,4.1,-0.262,0.35,12.0,59,15,8,8,7,1,5,0,27,6.0,1.83,1.91,-0.238,-1.36,229,138,0,0,0,1
2021-04-07,6,55,44,17,18,0,16,10,0,11,8,11,237,0,29,0.409,1.077,0.72,0.291,12.02,9.0,37,4,0,0,6,1,6,0,54,0.0,1.11,0.47,0.208,4.98,162,94,4,0,1,0
2021-04-07,5,37,30,0,4,0,0,6,1,6,6,8,162,1,16,0.133,0.464,1.21,-0.207,-4.98,9.0,55,18,17,16,10,0,11,0,33,16.0,3.11,0.29,-0.292,-12.02,237,134,1,1,0,1
2021-04-07,8,41,32,3,6,0,3,7,2,5,13,8,154,1,18,0.188,0.585,3.07,-0.145,-1.98,8.0,40,13,7,7,5,0,1,0,57,7.88,2.25,1.53,-0.355,-2.58,145,89,6,5,0,0
2021-04-07,7,40,35,7,13,0,6,5,0,1,12,8,145,2,19,0.371,0.821,3.27,0.354,2.58,9.0,41,6,3,2,7,2,5,0,66,2.0,1.44,1.56,0.144,1.98,154,94,5,1,1,1
2021-04-07,4,43,34,6,9,0,6,8,0,8,10,5,172,0,21,0.265,0.729,2.37,0.177,2.01,8.0,41,9,10,10,6,2,8,3,42,11.25,1.88,0.92,-0.678,-5.58,150,87,4,1,0,0
2021-04-07,9,41,33,10,9,3,10,6,2,8,9,8,150,0,11,0.273,1.021,2.78,0.678,5.57,9.0,43,9,6,6,8,0,8,0,24,6.0,1.89,1.24,-0.178,-2.03,172,105,3,3,1,1
2021-04-08,2,39,35,6,9,2,5,4,0,5,8,14,147,2,14,0.257,0.847,0.96,0.196,1.01,9.0,36,5,1,1,4,0,5,0,70,1.0,1.0,0.6,0.304,3.98,151,90,3,1,1,0
2021-04-08,1,36,32,1,5,0,1,4,0,5,15,6,151,0,18,0.156,0.406,1.76,-0.304,-3.99,9.0,39,9,6,4,4,0,5,2,35,4.0,1.44,0.27,-0.196,-1.02,147,90,1,1,0,1
2021-04-08,0,39,31,5,7,0,5,6,1,7,7,11,155,1,14,0.226,0.617,4.52,0.479,0.03,9.0,38,4,3,3,7,1,5,1,55,3.0,1.22,1.24,0.021,1.98,147,82,2,0,1,0
2021-04-08,3,38,27,3,4,1,3,7,1,5,8,9,147,0,17,0.148,0.629,2.17,-0.02,-1.98,9.0,39,7,5,5,6,1,7,0,60,5.0,1.44,1.57,-0.478,-0.02,155,93,1,1,0,1
2021-04-08,6,36,30,4,4,0,3,6,0,11,8,9,156,1,12,0.133,0.445,2.45,-0.174,-0.96,8.0,37,8,6,5,4,1,7,2,36,5.63,1.5,1.2,-0.327,-0.58,138,85,4,2,0,0
2021-04-08,5,37,31,6,8,2,5,4,1,7,10,5,138,0,13,0.258,0.835,2.74,0.328,0.57,9.0,36,4,4,1,6,0,11,0,49,1.0,1.11,1.42,0.174,0.97,156,93,0,0,1,1
2021-04-08,8,41,36,7,10,1,7,3,1,3,9,9,151,1,20,0.278,0.767,1.8,0.234,2.02,9.0,39,8,3,3,4,1,8,1,54,3.0,1.33,0.58,0.265,1.98,167,107,2,0,1,0
2021-04-08,7,39,34,3,8,1,3,4,1,8,11,12,167,2,19,0.235,0.715,1.95,-0.263,-1.98,9.0,41,10,7,6,3,1,3,1,29,6.0,1.44,0.32,-0.235,-2.01,151,91,2,0,0,1
2021-04-08,4,48,38,8,13,0,8,9,1,5,9,5,203,1,18,0.342,0.874,1.96,0.359,4.01,9.0,42,6,4,4,7,5,9,1,36,4.0,1.44,1.52,0.141,0.98,154,79,3,0,1,0
2021-04-08,9,42,29,4,6,1,4,7,5,9,10,9,154,2,24,0.207,0.749,3.65,-0.138,-0.99,9.0,48,13,8,7,9,1,5,0,32,7.0,2.44,0.86,-0.36,-4.03,203,117,3,0,0,1
2021-04-09,5,42,30,5,5,1,5,6,4,4,8,12,165,1,26,0.167,0.624,2.05,0.062,0.03,8.0,47,13,9,8,8,2,4,0,27,9.0,2.63,0.86,-0.562,-4.57,160,87,5,3,0,0
2021-04-09,8,47,34,9,13,0,9,8,2,4,13,7,160,0,34,0.382,0.93,1.72,0.562,4.59,9.0,42,5,5,5,6,4,4,1,44,5.0,1.22,1.13,-0.062,-0.03,165,100,3,2,1,1
2021-04-09,1,33,33,0,7,0,0,0,0,8,8,9,135,0,15,0.212,0.515,2.51,-0.194,-4.99,8.0,38,14,7,6,1,0,5,2,22,6.75,1.88,0.31,-0.306,-2.57,134,87,0,0,0,0
2021-04-09,6,38,37,7,14,2,7,1,0,5,6,11,134,2,18,0.378,0.99,0.86,0.305,2.56,9.0,33,7,0,0,0,0,8,0,69,0.0,0.78,0.26,0.195,4.98,135,88,1,0,1,1
2021-04-09,7,42,38,5,11,0,3,4,0,7,8,3,177,1,15,0.289,0.725,3.38,-0.361,0.01,8.0,37,10,7,7,3,0,12,0,55,7.88,1.63,0.51,-0.141,-2.57,127,86,0,0,0,0
2021-04-09,2,37,33,7,10,0,7,3,0,12,11,9,127,0,17,0.303,0.725,1.35,0.141,2.56,9.0,42,11,5,0,4,0,7,0,68,0.0,1.67,0.59,0.361,-0.03,177,111,3,3,1,1
