GameDate,Team,PA,AB,R,H,HR,RBI,BB,HBP,SO,GO,FO,NP,GDP,LOB,AVG,OPS,LI_b,WPA_b,RE24_b,IP,TBF,H_p,R_p,ER,BB_p,HBP_p,K,HR_p,GSC,ERA,WHIP,LI_p,WPA_p,RE24_p,NP_total,NP_strike,IR,IS,Result,home_away
2025-05-29,6,33,31,1,6,0,1,2,0,8,8,5,129,1,9,0.194,0.436,2.94,-0.454,-4.31,8.0,36,9,3,3,3,1,6,1,61,3.38,1.5,1.31,-0.046,1.71,149,97,1,1,0,0
2025-05-29,8,36,30,3,9,1,2,3,1,6,6,11,149,0,23,0.3,0.782,5.23,0.046,-1.72,9.0,33,6,1,1,2,0,8,0,68,1.0,0.89,1.61,0.454,4.3,129,89,0,0,1,1
2025-05-29,9,37,35,5,9,2,4,1,1,7,12,6,152,0,16,0.257,0.754,5.3,-0.263,-0.29,8.0,36,8,6,5,4,1,4,0,26,5.63,1.5,0.71,-0.236,-3.29,139,86,1,0,0,0
2025-05-29,5,36,31,6,8,0,5,4,1,4,11,7,139,1,11,0.258,0.651,2.15,0.236,3.3,9.0,37,9,5,4,1,1,7,2,46,4.0,1.11,1.75,0.264,0.29,152,97,4,3,1,1
2025-05-29,4,41,33,3,8,2,3,6,1,10,13,7,170,1,21,0.242,0.86,2.18,-0.09,-2.3,8.0,44,13,9,7,5,1,5,0,33,7.88,2.25,0.39,-0.41,-4.29,177,109,7,2,0,0
2025-05-29,2,44,38,9,13,0,9,5,1,5,10,4,177,1,28,0.342,0.879,1.48,0.41,4.3,9.0,41,8,3,3,6,1,10,2,56,3.0,1.56,0.93,0.09,2.3,170,104,5,0,1,1
2025-05-29,1,35,33,2,8,0,2,1,1,4,10,8,125,1,9,0.242,0.589,1.44,-0.194,-3.26,8.0,46,12,12,11,8,2,4,1,21,12.38,2.5,0.39,-0.306,-7.31,184,111,3,3,0,0
2025-05-29,7,46,34,12,12,1,11,8,2,4,12,7,184,1,25,0.353,1.018,2.08,0.307,7.31,9.0,35,8,2,2,1,1,4,0,56,2.0,1.0,0.2,0.194,3.28,125,85,0,0,1,1
2025-05-30,2,41,30,4,8,0,4,8,0,6,10,12,156,2,23,0.267,0.7,3.17,0.066,-1.26,9.0,38,7,3,2,4,0,4,0,57,2.0,1.22,1.72,0.434,2.24,147,94,0,0,1,0
2025-05-30,8,38,33,3,7,0,3,4,0,4,9,6,147,2,17,0.212,0.562,4.5,-0.435,-2.26,9.0,41,8,4,3,8,0,6,0,61,3.0,1.78,1.23,-0.066,1.26,156,91,5,2,0,1
2025-05-30,5,41,34,5,11,0,5,4,1,6,3,6,164,2,21,0.324,0.772,6.01,0.07,-0.26,8.0,37,10,6,3,3,0,14,0,44,3.38,1.63,1.15,-0.57,-1.34,159,103,0,0,0,0
2025-05-30,4,37,32,6,10,0,5,3,0,14,10,7,159,0,17,0.313,0.767,2.77,0.571,1.33,9.0,41,11,5,4,4,1,6,0,46,4.0,1.67,2.5,-0.07,0.25,164,107,4,2,1,1
2025-05-30,6,43,36,7,11,1,5,3,2,7,10,5,157,0,19,0.306,0.834,1.64,0.264,1.75,9.0,31,3,1,1,2,1,8,0,65,1.0,0.56,0.33,0.235,3.24,128,83,0,0,1,0
2025-05-30,9,31,28,1,3,0,1,2,1,8,7,9,128,2,9,0.107,0.337,2.03,-0.235,-3.26,9.0,43,11,7,6,3,2,7,1,38,6.0,1.56,0.35,-0.263,-1.75,157,110,2,2,0,1
2025-05-30,0,33,32,1,5,1,1,1,0,11,9,7,134,1,12,0.156,0.463,2.32,-0.452,-3.25,8.0,37,7,3,3,4,1,6,1,46,3.38,1.38,0.53,-0.047,1.67,135,86,1,0,0,0
2025-05-30,7,37,30,3,7,1,3,4,1,6,8,8,135,0,23,0.233,0.666,2.63,0.047,-1.65,9.0,33,5,1,1,1,0,11,1,77,1.0,0.67,0.85,0.453,3.25,134,95,0,0,1,1
2025-05-30,1,47,37,9,10,1,9,9,1,7,10,10,183,0,18,0.27,0.885,1.7,0.661,3.74,9.0,37,9,4,4,2,1,4,1,35,4.0,1.22,0.47,-0.159,1.25,153,98,4,0,1,0
2025-05-30,3,37,34,4,9,1,4,2,1,4,11,6,153,2,14,0.265,0.765,1.12,0.161,-1.27,9.0,47,10,9,9,9,1,7,1,50,9.0,2.11,0.94,-0.66,-3.75,183,102,2,2,0,1
2025-05-31,2,37,36,4,11,0,4,1,0,5,12,5,129,0,11,0.306,0.63,1.56,0.067,-1.25,9.0,34,7,2,2,1,0,8,0,52,2.0,0.89,1.53,0.434,3.25,133,93,1,1,1,0
2025-05-31,8,34,32,2,7,0,1,1,0,8,10,10,133,1,15,0.219,0.516,3.15,-0.434,-3.26,9.0,37,11,4,4,1,0,5,0,41,4.0,1.33,0.52,-0.068,1.24,129,85,0,0,0,1
2025-05-31,5,44,35,4,6,1,4,9,0,7,7,9,170,0,28,0.171,0.598,1.49,0.107,-1.26,9.0,34,5,1,1,4,0,7,0,52,1.0,1.0,0.98,0.392,5.24,138,86,0,0,1,0
2025-05-31,4,34,30,1,5,0,1,4,0,7,9,13,138,1,9,0.167,0.432,1.83,-0.391,-5.25,9.0,44,6,4,4,9,0,7,1,41,4.0,1.67,0.48,-0.108,1.26,170,101,3,0,0,1
2025-05-31,6,46,38,9,12,1,9,8,0,1,8,10,167,1,23,0.316,0.988,2.93,0.48,3.75,9.0,42,12,6,5,2,2,4,0,44,5.0,1.56,1.52,0.021,-1.75,160,101,1,1,1,0
2025-05-31,9,42,37,6,12,0,4,2,2,4,9,16,160,0,17,0.324,0.813,2.34,-0.02,1.75,9.0,46,12,9,9,8,0,1,1,44,9.0,2.22,1.32,-0.48,-3.75,167,95,6,3,0,1
2025-05-31,0,37,33,1,5,0,0,4,0,10,6,11,133,0,21,0.152,0.455,2.89,-0.426,-4.29,8.0,40,5,5,5,10,0,7,1,59,5.63,1.88,1.36,-0.076,-0.3,163,92,8,3,0,0
2025-05-31,7,40,30,5,5,1,5,10,0,7,8,7,163,0,29,0.167,0.708,4.05,0.072,0.31,9.0,37,5,1,0,4,0,10,0,66,0.0,1.0,1.44,0.426,4.28,133,91,2,0,1,1
2025-05-31,1,34,27,0,2,0,0,5,0,6,6,6,132,0,13,0.074,0.293,11.41,-0.746,-5.26,8.0,27,2,1,1,2,0,8,1,75,1.13,0.5,0.79,0.247,3.68,102,73,1,0,0,0
2025-05-31,3,27,23,1,2,1,1,2,0,8,12,7,102,0,6,0.087,0.377,2.42,-0.245,-3.67,9.0,34,2,0,0,5,0,6,0,78,0.0,0.78,3.14,0.746,5.25,132,83,1,0,1,1
2025-06-01,1,39,35,0,9,0,0,2,1,9,11,5,146,0,25,0.257,0.659,13.97,-0.746,-5.25,8.0,30,5,1,1,0,0,9,0,65,1.13,0.63,0.76,0.245,3.67,117,81,1,0,0,0
2025-06-01,3,30,30,1,5,0,1,0,0,9,7,10,117,1,13,0.167,0.334,2.03,-0.245,-3.68,9.0,39,9,0,0,2,1,9,0,63,0.0,1.22,2.72,0.745,5.24,146,103,1,0,1,1
2025-06-01,2,44,38,6,13,1,6,5,0,7,12,4,187,1,22,0.342,0.909,2.4,0.39,0.74,9.0,43,11,4,1,3,1,7,0,39,1.0,1.56,1.4,0.108,1.24,160,104,4,0,1,0
2025-06-01,8,43,37,4,11,0,4,3,1,7,7,9,160,0,28,0.297,0.681,2.09,-0.108,-1.25,9.0,44,13,6,6,5,0,7,1,44,6.0,2.0,1.32,-0.391,-0.75,187,117,4,0,0,1
2025-06-01,5,39,36,4,8,0,3,2,1,10,8,6,169,0,21,0.222,0.588,4.15,0.312,-1.25,9.0,36,6,3,3,5,0,7,1,54,3.0,1.22,2.57,0.19,2.25,135,90,4,2,1,0
2025-06-01,4,36,29,3,6,1,3,5,0,7,9,6,135,2,16,0.207,0.693,2.95,-0.189,-2.25,9.0,39,8,4,4,2,1,10,0,60,4.0,1.11,1.94,-0.31,1.25,169,105,2,2,0,1
2025-06-01,6,39,35,5,7,1,4,3,1,10,5,7,158,0,14,0.2,0.625,1.07,0.106,-0.25,8.0,44,13,16,16,5,3,9,3,43,18.0,2.25,0.72,-0.605,-11.33,163,104,7,7,0,0
2025-06-01,9,44,36,16,13,3,15,5,3,9,12,6,163,0,13,0.361,1.171,2.0,0.607,11.31,9.0,39,7,5,5,3,1,10,1,40,5.0,1.11,0.82,-0.105,0.26,158,100,6,2,1,1
2025-06-01,0,43,39,5,13,2,5,3,0,5,7,11,170,0,21,0.333,0.868,2.3,0.056,-0.26,9.0,37,7,3,3,1,1,9,0,53,3.0,0.89,1.98,0.444,2.27,146,95,1,0,1,0
2025-06-01,7,37,35,3,7,0,3,1,1,9,11,9,146,0,11,0.2,0.443,3.36,-0.445,-2.27,9.0,43,13,5,5,3,0,5,2,24,5.0,1.78,0.88,-0.056,0.27,170,115,3,0,0,1
